rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
1,"Acquisitive chap, as we see it (8)",COVETOUS,Acquisitive,1a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
2,Back yard fencing weak and sagging (6),DROOPY,sagging,5a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
3,"Stripping off uniform, love holding colonel's coat (10)",UNCLOTHING,Stripping,8a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
4,Without a mark where they should be gained (4),EXAM,where they should be gained,9a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
5,"Put a stop to Rugby's foul school leader (5,2,3,4)",KNOCK ON THE HEAD,Put a stop to,10a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
6,Foreign letter coming in is the French letter (7),EPISTLE,letter,11a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
7,Charge to pack knick-knacks hurriedly (7),AGITATO,hurriedly,13a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
8,"At first, bear one fruit or another (7)",BANANAS,another,15a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
9,Cited tot defending authoritarian leader (7),ADDUCED,Cited,18a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
10,"Heady mixture of qualities nurse developed (7,7)",TEQUILA SUNRISE,Heady mixture,21a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
11,A little house might ... be this? (4),SEMI,A little,22a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
12,The writer's twice penning papers of merit (10),IMPRESSIVE,of merit,23a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
13,Highest-ranking lady has heart stolen roguishly (6),ARCHLY,roguishly,24a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
14,Grant a leader in the papers a column (8),CARYATID,a column,25a,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
15,Charles's going to loudly show amusement (7),CHUCKLE,show amusement,1d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
16,Number one Scot with puritanical views (9),VICTORIAN,puritanical views,2d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
17,What handyman has flipping spoils apparel (7),TOOLKIT,What handyman has,3d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
18,Errant knight in huge trouble (7),UNHINGE,trouble,4d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
19,"Turned tenacious, holding on (9)",DOGLEGGED,Turned,5d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
20,"Stuff’s possibly tax-free, before cuts (7)",OVEREAT,Stuff,6d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
21,"Praise, primarily, to give the thing acclaim? (7)",PLAUDIT,"Praise, primarily, to give the thing acclaim",7d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
22,One admitted to being unstable? It’s still to be settled (9),LIABILITY,It’s still to be settled,12d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
23,This vicar could be the record-holder (9),ARCHIVIST,record-holder,14d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
24,"Complaint received by a miserly sort presenting a threat to workers (3,4)",ANT BEAR,sort presenting a threat to workers,16d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
25,Liberal leader gave up splitting wood (7),ASQUITH,Liberal leader,17d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
26,Light vessel reversed by a kingdom once (7),ASSYRIA,kingdom once,18d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
27,"Ruling line in colour, almost ugly (7)",DYNASTY,Ruling line,19d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
28,"European bank invests — diving in here? (4,3)",DEEP END,diving in here,20d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
29,Number one Scot with puritanical views (9),VICTORIAN,,2d,2019-08-08,Times 27424,https://times-xwd-times.livejournal.com/2185818.html,times_xwd_times
30,Protective cover Queen got from prime minister (6),THATCH,Protective cover,1a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
31,Share mistake and initially even Wall Street stalls? (8),PARTERRE,Wall Street stalls,4a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
32,Concerned with small emergency arising once more (9),RESURGENT,arising once more,10a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
33,Vouchsafed information about Roman square (5),GIVEN,Vouchsafed,11a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
34,Perfectionist maybe disposing of uranium to key operator (7),PIANIST,key operator,12a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
35,Concerned with component of blood containing iodine — that’s worrying (7),SERIOUS,worrying,13a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
36,Country parrot seen round city (5),KENYA,Country,14a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
37,Trap surrounded by enchantment is irresistible (8),MAGNETIC,irresistible,15a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
38,One imprisoned in lead alloy by English (8),INTERNEE,One imprisoned,18a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
39,Volunteers express disapproval — that’s not acceptable (5),TABOO,not acceptable,20a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
40,"Garden flower that’s female outside, male inside (7)",VERBENA,Garden flower,23a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
41,"Little time before long trip, missing start for early contest (7)",TOURNEY,early contest,25a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
42,Sound beginning when hummingbird is rapidly returning (5),WHIRR,Sound,26a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
43,"Is old feeling of delight not starting, being alone? (9)",ISOLATION,being alone,27a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
44,Member got off by unknown feature of law (8),LEGALITY,feature of law,28a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
45,European power limited by genuine revocation (6),REPEAL,revocation,29a,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
46,Where travellers pay to go and fish (8),TURNPIKE,Where travellers pay,1d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
47,Refuse a black mark (7),ABSTAIN,Refuse,2d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
48,Skill I learnt initially in prison which some find hard to swallow (9),CARTILAGE,which some find hard to swallow,3d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
49,Convincing oneself car has motion (14),AUTOSUGGESTION,Convincing oneself,5d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
50,Dynamic person is good in bank (5),TIGER,Dynamic person,6d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
51,Soft cases used by opera violinists (7),RAVIOLI,Soft cases,7d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
52,Chap from Eagle Street (6),ERNEST,Chap,8d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
53,Soft-hearted person posted current crew thanks and tip (14),SENTIMENTALIST,Soft-hearted person,9d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
54,Company went without leader as old as you and I (9),ENTOURAGE,Company,16d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
55,"Royal Opera House deployed piano only, a real sleep inducer (8)",ROHYPNOL,a real sleep inducer,17d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
56,Tending to race up and burst into song (7),NURSING,Tending to,19d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
57,West African country introducing unknown energy fuel mixture (7),BENZINE,fuel mixture,21d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
58,Rule first cells must be set up for admission (6),AVOWAL,admission,22d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
59,Record single up around number four in chart (5),ENROL,Record,24d,2021-03-03,Times 27915,https://times-xwd-times.livejournal.com/2498664.html,times_xwd_times
60,"Startle, prepared to keep ace and not lead (4,1,4,4)",TAKE A BACK SEAT,not lead,1a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
61,It may get endless representation (5),IMAGE,representation,9a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
62,Message’s tenor we may hear described (9),VOICEMAIL,Message,10a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
63,Think shop needs rebuke (10),DELIBERATE,Think,11a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
64,No time for jokes — strap on leg (4),JESS,strap on leg,12a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
65,"Get cash for proper detached place, not large (7)",REALISE,Get cash for,14a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
66,"Republic extremely embarrassed, withdrawing current coins (7)",DENARII,coins,16a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
67,"At heart, regrets nothing in Spanish island (7)",GRENADA,Spanish island,17a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
68,Burden of work papers (7),OPPRESS,Burden,19a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
69,Just open a container (4),AJAR,Just open,20a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
70,"Fruit and meat including starter of rice for Chinese runner (5,5)",PEARL RIVER,Chinese runner,21a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
71,People arrest smooth boy over a little bling (9),MEDALLION,a little bling,24a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
72,Maxim’s garden feature? (5),GNOME,Maxim,25a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
73,"Ma and Granny worried about Junior, a disillusioned playwright (5,5,3)",ANGRY YOUNG MAN,a disillusioned playwright,26a,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
74,"Old broadcaster’s second trailer for good stuff on compiler (5,9)",THIRD PROGRAMME,Old broadcaster’,1d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
75,"Frolic about, holding a pen (5)",KRAAL,pen,2d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
76,"Land almost nothing, after a West Indian lands one (10)",AZERBAIJAN,Land,3d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
77,"Injurious commercial, very Irish (7)",ADVERSE,Injurious,4d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
78,Came together and kept busy at the guillotine? (7),KNITTED,Came together,5d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
79,Like some spuds? I had to speak (4),EYED,Like some spuds,6d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
80,"Agreed toe is deformed somewhat (2,1,6)",TO A DEGREE,somewhat,7d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
81,"Doctor percussing a lot who will get you looking better (7,7)",PLASTIC SURGEON,who will get you looking better,8d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
82,Simple game won’t come to an end — I go to bed (10),SNAPDRAGON,I go to bed,13d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
83,Queen cross with regiment holding up drink (9),ALEXANDRA,Queen,15d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
84,Useful feature to order any time (7),AMENITY,Useful feature,18d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
85,"Managed to support some good books: here, The Castle? (7)",OTRANTO,The Castle,19d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
86,"Rev Vicar’s first study, say (5)",VROOM,Rev,22d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
87,Bullet hit pest (4),SLUG,Bullet,23d,2018-05-17,Times 27040,https://times-xwd-times.livejournal.com/1942956.html,times_xwd_times
88,Intrepid daughter missing parent's sister (9),DAUNTLESS,Intrepid,1a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
89,"Literary genre in South Carolina, one including Kipling poem (3-2)",SCI,Literary genre,6a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
90,Training device transforming Liam's tour (9),SIMULATOR,Training device,8a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
91,Plant serving sauce with meat (5),OXLIP,Plant,9a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
92,Clothing submerged in northern river? (9),UNDERWEAR,Clothing,10a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
93,"Popular act, without doubt (6)",INDEED,without doubt,12a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
94,Position of rubbish in South America (6),STATUS,Position,13a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
95,Element Mendeleev originally found in flowering plant (9),GERMANIUM,Element,16a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
96,"Head of police called, revealing accident (5)",PRANG,accident,18a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
97,Switch posts near ground (9),TRANSPOSE,Switch,19a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
98,"With cunning, son locates youth leaders twice (5)",SLYLY,With cunning,21a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
99,"Stun factory, displaying alyssum, for example (4,5)",ROCK PLANT,"alyssum, for example",22a,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
100,Argument inspector advanced in Home Counties (7),DISPUTE,Argument,1d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
101,Destroyed a Parisian serving-girl verbally? (6),UNMADE,Destroyed,2d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
102,Roofer left in middle or row (5),TILER,Roofer,3d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
103,Amphibian originally eaten for tea (3),EFT,Amphibian,4d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
104,Unexpectedly grumpy about quiet revolution (12),SURPRISINGLY,Unexpectedly,5d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
105,"One making meteoric progress at Bisley, say? (8,4)",SHOOTING STAR,One making meteoric progress,6d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
106,Insular type this writer maligns (8),ISLANDER,Insular type,7d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
107,Plea to dine among competitors (8),ENTREATY,Plea,11d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
108,Storm created by English politician during trial (7),TEMPEST,Storm,14d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
109,"Shrub found in Michigan, Missouri and South America? (6)",MIMOSA,Shrub,15d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
110,Model put up by a fabulous writer (5),AESOP,fabulous writer,17d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
111,Part of circle a churchgoer joined (3),ARC,Part of circle,20d,2020-09-29,Times Quick Cryptic 1711,https://times-xwd-times.livejournal.com/2414349.html,times_xwd_times
112,"Born high or low, pondered changing sides (4-7)",BLUE-BLOODED,Born high,1d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
113,Surprisingly content to ignore every new music group (5),OCTET,music group,2d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
114,Promotion of publicly funded entertainment starting three months early? (9),MARKETING,Promotion,3d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
115,Revolutionary to run broadcasting company (7),TROTSKY,Revolutionary,4d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
116,Hybrid animal has feline claw shortened (7),CATTALO,Hybrid animal,5d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
117,Ordering of pieces from mint is a must for me (11),NUMISMATIST,me,7d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
118,Madcap display with tops off carelessly (6),ANYHOW,carelessly,8d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
119,Was a loudmouth Liberal before getting into power? (8),HOLLERED,Was a loudmouth,9d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
120,"Jesus follower uplifted youth with spirited stuff, just past two o'clock? (4,9)",MARY MAGDALENE,Jesus follower,10d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
121,Snake swallowing piece representing half or quarter of artists (7),BOHEMIA,quarter of artists,11d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
122,"Hater of Brussels sprouts to start with mushroom, having obsessed about removing cap (11)",EUROSCEPTIC,Hater of Brussels,12d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
123,Suave person who won't keep your interest without rifling through it (6-4),SMOOTH-BORE,without rifling through it,13d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
124,Section of Norman arch is thrown into disorder? (9),ANARCHIST,into disorder/9,20d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
125,"9 in the morning, stopping long speech (8)",SCREAMED,,23d,2016-09-17,Jumbo 1225,https://times-xwd-times.livejournal.com/1594988.html,times_xwd_times
